Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pivot,R1,S1,R2,S2
13-Mar-2020,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89,9712.97,9917.94,9385.19,10245.72,9180.22
16-Mar-2020,9587.8,9602.2,9165.1,9197.4,898523271,29181.8,9556.58,10558.01,8953.76,11160.83,7952.33
17-Mar-2020,9285.4,9403.8,8915.6,8967.05,936185892,28004.16,9321.57,9478.04,9040.94,9758.67,8884.47
18-Mar-2020,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71,9095.48,9275.36,8787.16,9583.68,8607.28
19-Mar-2020,8063.3,8575.45,7832.55,8263.45,926508824,34274.23,8667.8,8928.55,8208.05,9388.3,7947.3
20-Mar-2020,8284.45,8883.0,8178.2,8745.45,1072263600,37321.25,8223.82,8615.09,7872.19,8966.72,7480.92
23-Mar-2020,7945.7,8159.25,7583.6,7610.25,654151814,23891.9,8602.22,9026.24,8321.44,9307.02,7897.42
24-Mar-2020,7848.3,8036.95,7511.1,7801.05,739354439,28282.09,7784.37,7985.14,7409.49,8360.02,7208.72
25-Mar-2020,7735.15,8376.75,7714.75,8317.85,738114713,28482.01,7783.03,8054.96,7529.11,8308.88,7257.18
26-Mar-2020,8451.0,8749.05,8304.9,8641.45,866534643,32228.31,8136.45,8558.15,7896.15,8798.45,7474.45
27-Mar-2020,8949.1,9038.9,8522.9,8660.25,801923401,31336.86,8565.13,8825.36,8381.21,9009.28,8120.98
30-Mar-2020,8385.95,8576.0,8244.0,8281.1,593953051,24724.44,8740.68,8958.46,8442.46,9256.68,8224.68
31-Mar-2020,8529.35,8678.3,8358.0,8597.75,713390935,27401.3,8367.03,8490.06,8158.06,8699.03,8035.03
01-Apr-2020,8584.1,8588.1,8198.35,8253.8,507509685,21307.3,8544.68,8731.36,8411.06,8864.98,8224.38
03-Apr-2020,8356.55,8356.55,8055.8,8083.8,697752438,26561.18,8346.75,8495.15,8105.4,8736.5,7957.0
07-Apr-2020,8446.3,8819.4,8360.95,8792.2,815245226,35206.69,8165.38,8274.96,7974.21,8466.13,7864.63
08-Apr-2020,8688.9,9131.7,8653.9,8748.75,897562690,37641.68,8657.52,8954.09,8495.64,9115.97,8199.07
09-Apr-2020,8973.05,9128.35,8904.55,9111.9,743036134,32907.82,8844.78,9035.66,8557.86,9322.58,8366.98
13-Apr-2020,9103.95,9112.05,8912.4,8993.85,644468815,26749.06,9048.27,9191.99,8968.19,9272.07,8824.47
15-Apr-2020,9196.4,9261.2,8874.1,8925.3,880159358,41878.64,9006.1,9099.8,8900.15,9205.75,8806.45
16-Apr-2020,8851.25,9053.75,8821.9,8992.8,720116479,31318.29,9020.2,9166.3,8779.2,9407.3,8633.1
17-Apr-2020,9323.45,9324.0,9091.35,9266.75,684910520,33334.73,8956.15,9090.4,8858.55,9188.0,8724.3
20-Apr-2020,9390.2,9390.85,9230.8,9261.85,726364699,28620.91,9227.37,9363.39,9130.74,9460.02,8994.72
21-Apr-2020,9016.95,9044.4,8909.4,8981.45,655122903,28273.89,9294.5,9358.2,9198.15,9454.55,9134.45
22-Apr-2020,9026.75,9209.75,8946.25,9187.3,734383388,33981.82,8978.42,9047.44,8912.44,9113.42,8843.42
23-Apr-2020,9232.35,9343.6,9170.15,9313.9,666650462,30270.55,9114.43,9282.61,9019.11,9377.93,8850.93
24-Apr-2020,9163.9,9296.9,9141.3,9154.4,659439249,32859.05,9275.88,9381.61,9208.16,9449.33,9102.43
27-Apr-2020,9259.7,9377.1,9250.35,9282.3,512793298,26696.54,9197.53,9253.76,9098.16,9353.13,9041.93
28-Apr-2020,9389.8,9404.4,9260.0,9380.9,614548983,30091.41,9303.25,9356.15,9229.4,9430.0,9176.5
29-Apr-2020,9408.6,9599.85,9392.35,9553.35,653026950,31673.23,9348.43,9436.86,9292.46,9492.83,9204.03
30-Apr-2020,9753.5,9889.05,9731.5,9859.9,931173802,39332.46,9515.18,9638.01,9430.51,9722.68,9307.68
04-May-2020,9533.5,9533.5,9266.95,9293.5,687487134,29785.95,9826.82,9922.14,9764.59,9984.37,9669.27
05-May-2020,9429.4,9450.9,9190.75,9205.6,725196178,29700.2,9364.65,9462.35,9195.8,9631.2,9098.1
06-May-2020,9226.8,9346.9,9116.5,9270.9,722185448,30798.1,9282.42,9374.09,9113.94,9542.57,9022.27
07-May-2020,9234.05,9277.85,9175.9,9199.05,708740416,59705.53,9244.77,9373.04,9142.64,9475.17,9014.37
08-May-2020,9376.95,9382.65,9238.2,9251.5,609053504,30743.45,9217.6,9259.3,9157.35,9319.55,9115.65
11-May-2020,9348.15,9439.9,9219.95,9239.2,704647074,31048.47,9290.78,9343.36,9198.91,9435.23,9146.33
12-May-2020,9168.85,9240.85,9043.95,9196.55,805458787,37706.27,9299.68,9379.41,9159.46,9519.63,9079.73
13-May-2020,9584.2,9584.5,9351.1,9383.55,846395245,36488.9,9160.45,9276.95,9080.05,9357.35,8963.55
14-May-2020,9213.95,9281.1,9119.75,9142.75,602555564,29541.59,9439.72,9528.34,9294.94,9673.12,9206.32
15-May-2020,9182.4,9182.4,9050.0,9136.85,575857112,25847.33,9181.2,9242.65,9081.3,9342.55,9019.85
18-May-2020,9158.3,9158.3,8806.75,8823.25,772983297,33347.46,9123.08,9196.16,9063.76,9255.48,8990.68
19-May-2020,8961.7,9030.35,8855.3,8879.1,762152894,32026.94,8929.43,9052.11,8700.56,9280.98,8577.88
20-May-2020,8889.15,9093.8,8875.35,9066.55,622308140,30721.99,8921.58,8987.86,8812.81,9096.63,8746.53
21-May-2020,9079.45,9178.55,9056.1,9106.25,631542699,28303.51,9011.9,9148.45,8930.0,9230.35,8793.45
